,accuracy,f1,precision,recall,model
0,0.1828,0.16281363316470132,0.18229896470002294,0.17407256041419178,model_ADAM_21
1,0.156,0.11540776246430509,0.1557363864717866,0.1496492277671329,model_ADAM_LT_21
2,0.19,0.17622667725126834,0.19011106219966364,0.18216215320791285,model_SGD_21
3,0.1788,0.1529724277410188,0.1779801498632906,0.16345493473476516,model_SGD_LT_21
4,0.1968,0.0652904683715251,0.19071067821067822,0.03938916696953206,model_ewc_21
5,0.0968,0.01765134938001459,0.1,0.00968,model_ewc_LT_21
6,0.1944,0.06445772827199274,0.18845598845598846,0.03887998207971328,model_SI_21
7,0.0968,0.01765134938001459,0.1,0.00968,model_SI_LT_21
8,0.1896,0.06308830832319906,0.1838023088023088,0.038093394497890905,model_MAS_21
9,0.0968,0.01765134938001459,0.1,0.00968,model_MAS_LT_21
10,0.6032,0.6033314085385195,0.6042588989885291,0.604469973360249,model_replay_21
11,0.6336,0.6318732427777621,0.6328441422330944,0.6460589334973621,model_replay_LT_21
