,accuracy,f1,precision,recall,model
0,0.17,0.15713011458095885,0.1680039137516674,0.1750949890913761,model_ADAM_65
1,0.202,0.11654810061816649,0.20474190300739795,0.09628128858564597,model_ADAM_LT_65
2,0.172,0.1272092756761865,0.1719319177587128,0.15762476043048798,model_SGD_65
3,0.148,0.11495464866384257,0.14799175448991492,0.1768201121475546,model_SGD_LT_65
4,0.196,0.0652848013337038,0.19629629629629627,0.0391910270564329,model_ewc_65
5,0.104,0.018840579710144925,0.1,0.0104,model_ewc_LT_65
6,0.192,0.06390322006760363,0.19194847020933978,0.038358619806670505,model_SI_65
7,0.104,0.018840579710144925,0.1,0.0104,model_SI_LT_65
8,0.186,0.06196165601555988,0.18639291465378421,0.037192595081521306,model_MAS_65
9,0.104,0.018840579710144925,0.1,0.0104,model_MAS_LT_65
10,0.634,0.6265154449472246,0.6350785702643861,0.6270403614864424,model_replay_65
11,0.794,0.7826186945292519,0.7943906844040309,0.7870182613578812,model_replay_LT_65
