,accuracy,f1,precision,recall,model
0,0.734,0.7301585672622825,0.7342849920731922,0.7310744871889202,Upper_Bound_12
1,0.25,0.15795530827438636,0.2534946001812096,0.1425948515835418,model_ADAM_12
2,0.324,0.24788657921191062,0.3281080058182761,0.3484570364655234,model_ADAM_LT_12
3,0.154,0.10027314718810623,0.15076498076164524,0.11165983726797975,model_SGD_12
4,0.126,0.09977192771684687,0.1275019023015244,0.10705678421195663,model_SGD_LT_12
5,0.272,0.16905734183774673,0.27525771762984075,0.15804405120935033,model_ewc_12
6,0.204,0.11546901093097381,0.2139452292203668,0.14513060282641485,model_ewc_LT_12
7,0.286,0.19220028450251575,0.284342781770093,0.28039961824270654,model_SI_12
8,0.19,0.12095576859812607,0.18846237657532855,0.13238940546632855,model_SI_LT_12
9,0.152,0.09105855297870999,0.1489176911007054,0.12999986400133645,model_MAS_12
10,0.166,0.11963974909417052,0.16637231023486104,0.15903876403876402,model_MAS_LT_12
11,0.866,0.8613881350116273,0.8655510667097952,0.8758996423960997,model_replay_12
12,0.874,0.8687816678515017,0.873935003152672,0.8847283066168936,model_replay_LT_12
