,0
0,0.6998
1,0.6998
2,0.6998
3,0.6998
4,0.6998
5,0.6998
6,0.6999
7,0.6999
8,0.6999
9,0.6999
10,0.699
11,0.699
12,0.6991
13,0.6993
14,0.6993
15,0.6995
16,0.7
17,0.7
18,0.7013
19,0.702
20,0.6949
21,0.6915
22,0.6914
23,0.7033
24,0.7015
25,0.6999
26,0.6895
27,0.6923
28,0.6924
29,0.678
30,0.6783
31,0.6781
32,0.6779
33,0.6782
34,0.7009
35,0.7013
36,0.7012
37,0.7013
38,0.7016
39,0.7002
40,0.7001
41,0.7001
42,0.6993
43,0.6932
44,0.6937
45,0.6937
46,0.7001
47,0.6999
48,0.7055
49,0.6971
50,0.704
51,0.704
52,0.7045
53,0.7072
54,0.7063
55,0.7063
56,0.7097
57,0.7046
58,0.7116
59,0.7088
60,0.7191
61,0.7192
62,0.7192
63,0.7158
64,0.7148
65,0.7157
66,0.7159
67,0.7088
68,0.7135
69,0.7134
70,0.7025
71,0.6978
72,0.7142
73,0.7137
74,0.7127
75,0.7117
76,0.7107
77,0.6468
78,0.7113
79,0.7123
80,0.6979
81,0.7082
82,0.7098
83,0.6973
84,0.6986
85,0.7119
86,0.7109
87,0.7118
88,0.7038
89,0.7074
90,0.7144
91,0.7145
92,0.7127
93,0.7142
94,0.7084
95,0.7115
96,0.7074
97,0.7101
98,0.7105
99,0.7097
100,0.7105
101,0.7089
102,0.7055
103,0.7059
104,0.7101
105,0.6458
106,0.7114
107,0.7119
108,0.712
109,0.7101
110,0.7088
111,0.7088
112,0.7011
113,0.7001
114,0.7059
115,0.7057
116,0.7064
117,0.709
118,0.7072
119,0.7071
120,0.7047
121,0.7076
122,0.7071
123,0.7067
124,0.7074
125,0.7091
126,0.7101
127,0.7074
128,0.7044
129,0.633
130,0.7047
131,0.7063
132,0.7044
133,0.7039
134,0.706
135,0.7054
136,0.6482
137,0.7071
138,0.7075
139,0.6662
140,0.7079
141,0.6588
142,0.7063
143,0.7038
144,0.6808
145,0.6433
146,0.7111
147,0.7103
148,0.712
149,0.7112
150,0.7083
151,0.7083
152,0.7089
153,0.7112
154,0.6998
155,0.7052
156,0.7062
157,0.7087
158,0.7096
159,0.6959
160,0.7086
161,0.7098
162,0.7133
163,0.7125
164,0.7111
165,0.71
166,0.7093
167,0.7113
168,0.7092
169,0.7105
170,0.7092
171,0.6433
172,0.7033
173,0.7064
174,0.7058
175,0.7056
176,0.7053
177,0.707
178,0.6972
179,0.6665
180,0.6842
181,0.7005
182,0.7015
183,0.7031
184,0.7055
185,0.7039
186,0.7058
187,0.7066
188,0.7065
189,0.7047
190,0.7018
191,0.6942
192,0.6986
193,0.7043
194,0.7027
195,0.7019
196,0.6994
197,0.698
198,0.6701
199,0.6947
200,0.6949
201,0.6925
202,0.6951
203,0.6982
204,0.6952
205,0.7015
206,0.7029
207,0.7006
208,0.6965
209,0.6996
210,0.7021
211,0.701
212,0.7031
213,0.7018
214,0.7025
215,0.6358
216,0.702
217,0.6998
218,0.6968
219,0.6971
220,0.6992
221,0.7006
222,0.7034
223,0.7038
224,0.7044
225,0.7056
226,0.7045
227,0.6916
228,0.7025
229,0.7055
230,0.7063
231,0.6816
232,0.7048
233,0.6987
234,0.7
235,0.7017
236,0.7041
237,0.7052
238,0.7037
239,0.7063
240,0.7035
241,0.701
242,0.705
243,0.7009
244,0.6966
245,0.6958
246,0.7033
247,0.7082
248,0.7058
249,0.7075
250,0.7061
251,0.7044
252,0.7013
253,0.695
254,0.6952
255,0.6954
256,0.6929
257,0.6958
258,0.6973
259,0.696
260,0.7022
261,0.7047
262,0.7055
263,0.7036
264,0.705
265,0.7035
266,0.7046
267,0.6972
268,0.6998
269,0.6991
270,0.701
271,0.698
272,0.7024
273,0.6983
274,0.6966
275,0.7022
276,0.7042
277,0.7051
278,0.7021
279,0.7022
280,0.7044
281,0.7006
282,0.7045
283,0.7064
284,0.6993
285,0.7023
286,0.7057
287,0.7064
288,0.707
