,0
0,0.0905
1,0.107
2,0.1198
3,0.1355
4,0.1412
5,0.1378
6,0.1293
7,0.1414
8,0.1407
9,0.1424
10,0.1422
11,0.1394
12,0.1467
13,0.1469
14,0.1504
15,0.1489
16,0.1505
17,0.1637
18,0.1878
19,0.2075
20,0.2307
21,0.2468
22,0.2546
23,0.2632
24,0.2754
25,0.2893
26,0.2921
27,0.2978
28,0.3202
29,0.3162
30,0.336
31,0.335
32,0.3367
33,0.3279
34,0.3233
35,0.3216
36,0.3221
37,0.3273
38,0.3191
39,0.3258
40,0.3243
41,0.3299
42,0.3409
43,0.3415
44,0.3425
45,0.3401
46,0.3419
47,0.3401
48,0.3374
49,0.3352
50,0.3253
51,0.3242
52,0.3242
53,0.3127
54,0.3085
55,0.3044
56,0.293
57,0.2915
58,0.2821
59,0.2605
60,0.251
61,0.2444
62,0.2484
63,0.2549
64,0.268
65,0.2749
66,0.2822
67,0.2904
68,0.2941
69,0.2982
70,0.3005
71,0.3072
72,0.3032
73,0.3033
74,0.3265
75,0.3345
76,0.3541
77,0.366
78,0.3689
79,0.3755
80,0.3725
81,0.3718
82,0.3518
83,0.3647
84,0.3806
85,0.4086
86,0.4156
87,0.4111
88,0.4113
89,0.3988
90,0.3998
91,0.3859
92,0.3976
93,0.3955
94,0.3919
95,0.3932
96,0.4025
97,0.4125
98,0.416
99,0.4346
100,0.4438
101,0.4414
102,0.4595
103,0.4617
104,0.4714
105,0.466
106,0.4759
107,0.4706
108,0.4611
109,0.4579
110,0.4537
111,0.4458
112,0.4481
113,0.4425
114,0.4439
115,0.4362
116,0.4349
117,0.4251
118,0.4206
119,0.4039
120,0.3926
121,0.376
122,0.374
123,0.3718
124,0.3641
125,0.358
126,0.349
127,0.3629
128,0.3771
129,0.4099
130,0.4161
131,0.4191
132,0.4045
133,0.4019
134,0.3852
135,0.3888
136,0.3811
137,0.379
138,0.3744
139,0.3753
140,0.3863
141,0.3923
142,0.4019
143,0.42
144,0.4376
145,0.4604
146,0.4761
147,0.4733
148,0.4789
149,0.475
150,0.4704
151,0.4707
152,0.4556
153,0.4521
154,0.4506
155,0.4421
156,0.4473
157,0.4416
158,0.4364
159,0.4434
160,0.4396
161,0.432
162,0.4336
163,0.4277
164,0.4278
165,0.4212
166,0.4211
167,0.421
168,0.4212
169,0.4257
170,0.4285
171,0.424
172,0.418
173,0.4279
174,0.4271
175,0.4328
176,0.4473
177,0.461
178,0.4633
179,0.4747
180,0.4748
181,0.4711
182,0.4669
183,0.4695
184,0.4627
185,0.457
186,0.4444
187,0.4483
188,0.4505
189,0.441
190,0.4381
191,0.443
192,0.4349
193,0.4347
194,0.4324
195,0.4467
196,0.4605
197,0.4691
198,0.4769
199,0.4909
200,0.5012
201,0.5173
202,0.5213
203,0.5257
204,0.5254
205,0.5206
206,0.5196
207,0.5193
208,0.5267
209,0.517
210,0.5142
211,0.5115
212,0.5137
213,0.5061
214,0.5033
215,0.5004
216,0.5011
217,0.4882
218,0.4969
219,0.5018
220,0.5101
221,0.5162
222,0.5273
223,0.5187
224,0.5262
225,0.5234
226,0.5159
227,0.5211
228,0.5166
229,0.5052
230,0.4891
231,0.4885
232,0.4786
233,0.4795
234,0.4735
235,0.4664
236,0.4614
237,0.4534
238,0.4566
239,0.4562
240,0.4645
241,0.4691
242,0.467
243,0.4699
244,0.4712
245,0.4758
246,0.4659
247,0.4775
248,0.4889
249,0.5013
250,0.5111
251,0.5151
252,0.5155
253,0.5089
254,0.5098
255,0.5098
256,0.5083
257,0.5076
258,0.4883
259,0.4946
260,0.4998
261,0.4878
262,0.4909
263,0.4771
264,0.4832
265,0.4872
266,0.497
267,0.5095
268,0.5261
269,0.5232
270,0.5401
271,0.5525
272,0.5764
273,0.5872
274,0.5861
275,0.5915
276,0.5853
277,0.595
278,0.5931
279,0.5913
280,0.5916
281,0.5845
282,0.5814
283,0.562
284,0.5561
285,0.5441
286,0.5282
287,0.5056
288,0.4916
289,0.4733
290,0.4539
291,0.4498
292,0.4557
293,0.4606
294,0.4783
295,0.4908
296,0.4989
297,0.4967
298,0.497
299,0.4909
300,0.5021
301,0.5075
302,0.5054
303,0.5131
304,0.5142
305,0.5127
306,0.5116
307,0.5187
308,0.5116
309,0.5173
310,0.5158
311,0.5215
312,0.5139
313,0.5237
314,0.5245
315,0.5269
316,0.5493
317,0.5539
318,0.5545
319,0.5492
320,0.5581
321,0.5615
322,0.5638
323,0.5667
324,0.5669
325,0.5599
326,0.5632
327,0.5572
328,0.5554
329,0.553
330,0.5505
331,0.5609
332,0.5582
333,0.5717
334,0.5837
335,0.5829
336,0.5821
337,0.589
338,0.5847
339,0.5864
340,0.567
341,0.564
342,0.5614
343,0.5626
344,0.5748
345,0.5825
346,0.5771
347,0.5661
348,0.5693
349,0.5579
350,0.5431
351,0.541
352,0.5347
353,0.5243
354,0.5113
355,0.5039
356,0.4992
357,0.4959
358,0.4897
359,0.4931
360,0.4869
361,0.4938
362,0.4961
363,0.4978
364,0.4912
365,0.4945
366,0.5019
367,0.507
368,0.5059
369,0.5138
370,0.5281
371,0.5239
372,0.5336
373,0.5474
374,0.5699
375,0.5754
376,0.5807
377,0.5848
378,0.571
379,0.5781
380,0.5841
381,0.5768
382,0.5761
383,0.5756
384,0.5809
385,0.5805
386,0.5742
387,0.5718
388,0.5725
389,0.5634
390,0.5647
391,0.5709
392,0.5821
393,0.5722
394,0.5746
395,0.5675
396,0.5598
397,0.5465
398,0.565
399,0.5657
400,0.5731
401,0.5942
402,0.5997
403,0.6027
404,0.6083
405,0.6161
406,0.6138
407,0.6203
408,0.6125
409,0.6089
410,0.6096
411,0.6098
412,0.61
413,0.6105
414,0.6134
415,0.6085
416,0.6069
417,0.6036
418,0.6037
419,0.6004
420,0.5962
421,0.5924
422,0.5699
423,0.5685
424,0.5583
425,0.5508
426,0.5476
427,0.5414
428,0.5203
429,0.5214
430,0.5181
431,0.5183
432,0.502
433,0.5076
434,0.4994
435,0.4882
436,0.4681
437,0.4572
438,0.4435
439,0.449
440,0.4393
441,0.4472
442,0.4315
443,0.4424
444,0.4428
445,0.4476
446,0.4546
447,0.46
448,0.4731
449,0.4738
450,0.4911
451,0.4952
452,0.5159
453,0.5243
454,0.5405
455,0.5513
456,0.5589
457,0.5611
458,0.5676
459,0.5789
460,0.5764
461,0.5806
462,0.5803
463,0.5824
464,0.5882
465,0.6029
466,0.599
467,0.6036
468,0.6042
469,0.603
470,0.5932
471,0.5971
472,0.5966
473,0.5943
474,0.6019
475,0.6112
476,0.6095
477,0.6136
478,0.6164
479,0.6096
480,0.6183
481,0.6243
482,0.6179
483,0.6199
484,0.6217
485,0.6257
486,0.6231
487,0.631
488,0.6341
489,0.6313
490,0.6418
491,0.6364
492,0.634
493,0.627
494,0.623
495,0.6134
496,0.6103
497,0.6013
498,0.5901
499,0.5872
500,0.5848
501,0.5915
502,0.5828
503,0.5795
504,0.5859
505,0.5797
506,0.5732
507,0.5666
508,0.5662
509,0.5593
510,0.5687
511,0.5594
512,0.5639
513,0.5674
514,0.5681
515,0.5702
516,0.5687
517,0.5705
518,0.5658
519,0.5776
520,0.5906
521,0.6004
522,0.6176
523,0.6294
524,0.6353
525,0.6405
526,0.6362
527,0.6306
528,0.6279
529,0.6286
530,0.6223
531,0.6166
532,0.6049
533,0.6223
534,0.6178
535,0.6227
536,0.6256
537,0.6284
538,0.6362
539,0.6291
540,0.6351
541,0.6305
542,0.6343
543,0.6271
544,0.6172
545,0.6161
546,0.6206
547,0.6114
548,0.6206
549,0.6215
550,0.6256
551,0.625
552,0.6329
553,0.6401
554,0.6464
555,0.634
556,0.6475
557,0.6429
558,0.6431
559,0.6436
560,0.6545
561,0.6541
562,0.6623
563,0.6616
564,0.6598
565,0.6615
566,0.6523
567,0.664
568,0.6584
569,0.6581
570,0.654
571,0.6548
572,0.6705
573,0.6713
574,0.6588
575,0.6704
576,0.6721
577,0.6792
578,0.6779
579,0.6754
580,0.6734
581,0.675
582,0.6778
583,0.6759
584,0.6689
585,0.666
586,0.6705
587,0.6592
588,0.665
589,0.6633
590,0.6603
591,0.6565
592,0.6525
593,0.651
594,0.6543
595,0.66
596,0.6638
597,0.6654
598,0.6666
599,0.6693
600,0.6728
601,0.6664
602,0.6719
603,0.6745
604,0.6681
605,0.6724
606,0.6656
607,0.6664
608,0.6581
609,0.6555
610,0.6526
611,0.6514
612,0.6425
613,0.6418
614,0.638
615,0.6332
616,0.6347
617,0.6196
618,0.6168
619,0.623
620,0.6256
621,0.6319
622,0.6292
623,0.6301
624,0.6369
625,0.6282
626,0.6341
627,0.6319
628,0.6414
629,0.6515
630,0.6606
631,0.655
632,0.659
633,0.6561
634,0.6663
635,0.664
636,0.6637
637,0.6607
638,0.6641
639,0.6643
640,0.6636
641,0.6673
642,0.6546
643,0.6616
644,0.6644
645,0.6566
646,0.6632
647,0.6612
648,0.6575
649,0.657
650,0.6644
651,0.6567
652,0.667
653,0.6748
654,0.6647
655,0.6712
656,0.6688
657,0.6677
658,0.6729
659,0.6719
660,0.6734
661,0.6728
662,0.6674
663,0.675
664,0.6733
665,0.6744
666,0.668
667,0.6676
668,0.6632
669,0.6708
670,0.667
671,0.6656
672,0.6638
673,0.6664
