,0
0,0.764
1,0.764
2,0.764
3,0.764
4,0.764
5,0.764
6,0.764
7,0.764
8,0.764
9,0.764
10,0.764
11,0.764
12,0.764
13,0.764
14,0.7636
15,0.7636
16,0.7636
17,0.7636
18,0.764
19,0.7636
20,0.764
21,0.764
22,0.7636
23,0.7636
24,0.7636
25,0.7636
26,0.7632
27,0.7636
28,0.7636
29,0.7636
30,0.7632
31,0.7628
32,0.7628
33,0.7632
34,0.7628
35,0.7628
36,0.7628
37,0.7628
38,0.7628
39,0.7628
40,0.7628
41,0.7624
42,0.7624
43,0.7628
44,0.7628
45,0.7624
46,0.7624
47,0.762
48,0.762
49,0.762
50,0.762
51,0.762
52,0.762
53,0.762
54,0.7616
55,0.7616
56,0.762
57,0.762
58,0.762
59,0.7624
60,0.7624
61,0.7624
62,0.762
63,0.762
64,0.7616
65,0.762
66,0.762
67,0.762
68,0.762
69,0.762
70,0.762
71,0.7616
72,0.7612
73,0.7612
74,0.7612
75,0.7612
76,0.7616
77,0.7612
78,0.7612
79,0.7608
80,0.7608
81,0.7608
82,0.7612
83,0.7604
84,0.7604
85,0.7604
86,0.7596
87,0.7596
88,0.7596
89,0.7604
90,0.7596
91,0.7596
92,0.7596
93,0.7608
94,0.7608
95,0.7608
96,0.76
97,0.7604
98,0.76
99,0.76
100,0.76
101,0.76
102,0.7596
103,0.7596
104,0.76
105,0.7592
106,0.7588
107,0.7584
108,0.7584
109,0.7584
110,0.758
111,0.7584
112,0.758
113,0.7584
114,0.7584
115,0.7592
116,0.7592
117,0.7588
118,0.7584
119,0.7588
120,0.7596
121,0.7596
122,0.7592
123,0.7596
124,0.76
125,0.76
126,0.76
127,0.7596
128,0.7596
129,0.7596
130,0.7596
131,0.7592
132,0.76
133,0.7604
134,0.76
135,0.7604
136,0.76
137,0.7604
138,0.7604
139,0.7604
140,0.7604
141,0.7604
142,0.7604
143,0.7604
144,0.7604
145,0.7608
146,0.7608
147,0.7604
148,0.7608
149,0.7604
150,0.76
151,0.7596
152,0.7596
153,0.76
154,0.7596
155,0.7592
156,0.76
157,0.76
158,0.76
159,0.76
160,0.7592
161,0.7588
162,0.7584
163,0.7584
164,0.7584
165,0.7584
166,0.7584
167,0.7576
168,0.7576
169,0.7576
170,0.7576
171,0.7576
172,0.7576
173,0.7576
174,0.758
175,0.758
176,0.7584
177,0.7588
178,0.7588
179,0.7584
180,0.7576
181,0.758
182,0.7584
183,0.7584
184,0.758
185,0.758
186,0.7576
187,0.758
188,0.758
189,0.7576
190,0.7576
191,0.758
192,0.758
193,0.7576
194,0.7576
195,0.7576
196,0.758
197,0.758
198,0.7572
199,0.7568
200,0.7568
201,0.7568
202,0.7564
203,0.7564
204,0.7564
205,0.7556
206,0.7556
207,0.7556
208,0.7556
209,0.7556
210,0.7556
211,0.7556
212,0.7552
213,0.7552
214,0.7552
215,0.7552
216,0.7552
217,0.7556
218,0.756
219,0.756
220,0.7556
221,0.756
222,0.7556
223,0.7556
224,0.7556
225,0.7556
226,0.7552
227,0.7552
228,0.7548
229,0.7552
230,0.7552
231,0.7556
232,0.7552
233,0.7548
234,0.7548
235,0.7552
236,0.7548
237,0.7548
238,0.7552
239,0.7556
240,0.7552
241,0.7548
242,0.7548
243,0.7552
244,0.7548
245,0.7552
246,0.7548
247,0.7544
248,0.754
249,0.754
250,0.754
251,0.7524
252,0.752
253,0.7516
254,0.7512
255,0.7512
256,0.7512
257,0.7512
258,0.7508
259,0.7508
260,0.7508
261,0.7508
262,0.7512
263,0.7516
264,0.7508
265,0.75
266,0.75
267,0.7508
268,0.7508
269,0.7508
270,0.7508
271,0.7512
272,0.7512
273,0.7508
274,0.7508
275,0.7508
276,0.7512
277,0.7512
278,0.7512
279,0.7524
280,0.752
281,0.752
282,0.752
283,0.7524
284,0.7528
285,0.752
286,0.7524
287,0.752
288,0.7512
289,0.7508
290,0.7512
291,0.7508
292,0.75
293,0.7504
294,0.75
295,0.7496
296,0.7488
297,0.7488
298,0.7496
299,0.75
300,0.75
301,0.7504
302,0.7492
303,0.7496
304,0.7496
305,0.7492
306,0.7484
307,0.748
308,0.748
309,0.7468
310,0.7464
311,0.7468
312,0.7464
313,0.7464
314,0.7468
315,0.7468
316,0.7464
317,0.7464
318,0.7464
319,0.7456
320,0.746
321,0.746
322,0.746
323,0.746
324,0.746
325,0.7456
326,0.7456
327,0.7456
328,0.7456
329,0.7456
330,0.7456
331,0.7456
332,0.7456
333,0.7456
334,0.746
335,0.746
336,0.746
337,0.746
338,0.746
339,0.746
340,0.7456
341,0.7456
342,0.7456
343,0.7452
344,0.7452
345,0.7452
346,0.7452
347,0.7444
348,0.744
349,0.744
350,0.7432
351,0.7432
352,0.7436
353,0.744
354,0.744
355,0.744
356,0.7436
357,0.7436
358,0.744
359,0.744
360,0.744
361,0.744
362,0.744
363,0.744
364,0.744
365,0.744
366,0.7436
367,0.7432
368,0.7432
369,0.7432
370,0.7436
371,0.744
372,0.744
373,0.7436
374,0.744
375,0.7436
376,0.7436
377,0.7436
378,0.7432
379,0.7428
380,0.7436
381,0.7428
382,0.7424
383,0.7424
384,0.742
385,0.742
386,0.7416
387,0.7416
388,0.7396
389,0.7392
390,0.7396
391,0.7392
392,0.7388
393,0.7388
394,0.7392
395,0.7388
396,0.7388
397,0.7388
398,0.7388
399,0.738
400,0.738
401,0.7384
402,0.7376
403,0.7372
404,0.7376
405,0.738
406,0.7376
407,0.7376
408,0.738
409,0.738
410,0.7384
411,0.738
412,0.7384
413,0.7384
414,0.738
415,0.738
416,0.7384
417,0.7384
418,0.7388
419,0.7384
420,0.7384
421,0.7384
422,0.7388
423,0.7388
424,0.7388
425,0.7384
426,0.7384
427,0.738
428,0.7376
429,0.7364
430,0.7364
431,0.7368
432,0.7368
433,0.7368
434,0.7368
435,0.7372
436,0.7372
437,0.7376
438,0.7372
439,0.7376
440,0.7376
441,0.7372
442,0.7376
443,0.7376
444,0.7376
445,0.7372
446,0.7372
447,0.7376
448,0.7376
449,0.7376
450,0.738
451,0.738
452,0.7376
453,0.7372
454,0.7372
455,0.7372
456,0.7372
457,0.7368
458,0.736
459,0.7364
460,0.7364
461,0.7364
462,0.7368
463,0.7368
