,0
0,0.116
1,0.108
2,0.122
3,0.144
4,0.144
5,0.156
6,0.166
7,0.182
8,0.206
9,0.214
10,0.192
11,0.206
12,0.206
13,0.202
14,0.226
15,0.222
16,0.226
17,0.216
18,0.244
19,0.22
20,0.232
21,0.21
22,0.218
23,0.234
24,0.244
25,0.25
26,0.246
27,0.252
28,0.254
29,0.26
30,0.262
31,0.262
32,0.252
33,0.254
34,0.272
35,0.29
36,0.296
37,0.324
38,0.296
39,0.314
40,0.31
41,0.32
42,0.312
43,0.312
44,0.312
45,0.306
46,0.306
47,0.31
48,0.312
49,0.33
50,0.354
51,0.36
52,0.374
53,0.378
54,0.36
55,0.388
56,0.364
57,0.384
58,0.392
59,0.374
60,0.362
61,0.366
62,0.358
63,0.386
64,0.368
65,0.39
66,0.378
67,0.406
68,0.412
69,0.424
70,0.418
71,0.424
72,0.43
73,0.424
74,0.428
75,0.43
76,0.422
77,0.428
78,0.44
79,0.428
80,0.448
81,0.434
82,0.448
83,0.424
84,0.42
85,0.424
86,0.432
87,0.448
88,0.436
89,0.44
90,0.466
91,0.45
92,0.446
93,0.438
94,0.43
95,0.44
96,0.436
97,0.432
98,0.434
99,0.452
100,0.468
101,0.446
102,0.474
103,0.456
104,0.454
105,0.446
106,0.438
107,0.428
108,0.448
109,0.438
110,0.448
111,0.45
112,0.404
113,0.424
114,0.422
115,0.454
116,0.432
117,0.446
118,0.444
119,0.422
120,0.438
121,0.454
122,0.452
123,0.428
124,0.44
125,0.466
126,0.458
127,0.464
128,0.452
129,0.448
130,0.46
131,0.434
132,0.458
133,0.46
134,0.478
135,0.458
136,0.482
137,0.462
138,0.48
139,0.474
140,0.476
141,0.5
142,0.446
143,0.448
144,0.49
145,0.506
146,0.488
147,0.514
148,0.506
149,0.492
150,0.48
151,0.512
152,0.504
153,0.488
154,0.504
155,0.512
156,0.522
157,0.504
158,0.532
159,0.496
160,0.514
161,0.532
162,0.5
163,0.51
164,0.502
165,0.53
166,0.506
167,0.496
168,0.51
169,0.514
170,0.498
171,0.498
172,0.51
173,0.52
174,0.494
175,0.522
176,0.506
177,0.518
178,0.512
179,0.528
180,0.518
181,0.528
182,0.536
183,0.536
184,0.518
185,0.5
186,0.534
187,0.532
188,0.5
189,0.542
190,0.542
191,0.54
192,0.54
193,0.51
194,0.536
195,0.546
196,0.542
197,0.546
198,0.53
199,0.544
200,0.54
201,0.53
202,0.534
203,0.56
204,0.518
205,0.556
206,0.53
207,0.536
208,0.528
209,0.53
210,0.532
211,0.524
212,0.558
213,0.528
214,0.526
215,0.542
216,0.526
217,0.558
218,0.558
219,0.536
220,0.528
221,0.54
222,0.54
223,0.55
224,0.566
225,0.566
226,0.548
227,0.542
228,0.526
229,0.538
230,0.544
231,0.566
232,0.552
233,0.564
234,0.554
235,0.552
236,0.526
237,0.534
238,0.562
239,0.568
240,0.558
241,0.566
242,0.552
243,0.546
244,0.574
245,0.546
246,0.546
247,0.554
248,0.57
249,0.542
250,0.566
251,0.57
252,0.554
253,0.564
254,0.554
255,0.564
256,0.58
257,0.584
258,0.55
259,0.566
260,0.566
261,0.556
262,0.564
263,0.564
264,0.558
265,0.562
266,0.552
267,0.578
268,0.572
269,0.572
270,0.574
271,0.562
272,0.574
273,0.568
274,0.592
275,0.584
276,0.572
277,0.562
278,0.576
279,0.584
280,0.57
281,0.57
282,0.58
283,0.582
284,0.562
285,0.576
286,0.578
287,0.586
288,0.584
289,0.588
290,0.57
291,0.576
292,0.586
293,0.566
294,0.584
295,0.574
296,0.554
297,0.592
298,0.58
299,0.56
300,0.6
301,0.584
302,0.594
303,0.576
304,0.596
305,0.586
306,0.584
307,0.572
308,0.574
309,0.59
310,0.584
311,0.574
312,0.59
313,0.59
314,0.592
315,0.59
316,0.596
317,0.6
318,0.604
319,0.592
320,0.612
321,0.59
322,0.608
323,0.594
324,0.624
325,0.594
326,0.618
327,0.604
328,0.602
329,0.576
330,0.602
331,0.612
332,0.584
333,0.59
334,0.576
335,0.616
336,0.618
337,0.58
338,0.59
339,0.604
340,0.604
341,0.566
342,0.592
343,0.606
344,0.602
345,0.598
346,0.6
347,0.624
348,0.594
349,0.604
350,0.592
351,0.592
352,0.586
353,0.6
354,0.606
355,0.614
356,0.604
357,0.598
358,0.608
359,0.604
360,0.606
361,0.584
362,0.602
363,0.588
364,0.622
365,0.612
366,0.63
367,0.61
368,0.6
369,0.61
370,0.628
371,0.614
372,0.632
373,0.614
374,0.62
375,0.61
376,0.644
377,0.622
378,0.618
379,0.624
380,0.624
381,0.616
382,0.618
383,0.622
384,0.628
385,0.634
386,0.624
387,0.622
388,0.602
389,0.624
390,0.62
391,0.636
392,0.636
393,0.628
394,0.644
395,0.614
396,0.64
397,0.614
398,0.608
399,0.624
400,0.624
401,0.63
402,0.614
403,0.612
404,0.642
405,0.612
406,0.616
407,0.63
408,0.632
409,0.644
410,0.624
411,0.618
412,0.612
413,0.636
414,0.644
415,0.63
416,0.64
417,0.614
418,0.636
419,0.626
420,0.62
421,0.61
422,0.642
423,0.616
424,0.618
425,0.63
426,0.622
427,0.636
428,0.628
429,0.648
430,0.648
431,0.672
432,0.628
433,0.636
434,0.648
435,0.64
436,0.664
437,0.642
438,0.626
439,0.64
440,0.646
441,0.642
442,0.63
443,0.62
444,0.644
445,0.612
446,0.636
447,0.656
448,0.636
449,0.632
450,0.626
451,0.64
452,0.622
453,0.632
454,0.624
455,0.644
456,0.65
457,0.624
458,0.606
459,0.64
460,0.652
461,0.634
462,0.622
463,0.634
464,0.644
465,0.64
466,0.634
467,0.644
468,0.632
469,0.634
470,0.64
471,0.644
472,0.644
473,0.63
474,0.666
475,0.624
476,0.628
477,0.64
478,0.636
479,0.624
480,0.626
481,0.656
482,0.642
483,0.66
484,0.648
485,0.648
486,0.652
487,0.656
488,0.642
489,0.672
490,0.66
491,0.648
492,0.676
493,0.664
494,0.656
495,0.67
496,0.642
497,0.648
498,0.642
499,0.624
500,0.642
501,0.658
502,0.64
503,0.646
504,0.626
505,0.636
506,0.664
507,0.642
508,0.624
509,0.644
510,0.626
511,0.65
512,0.654
513,0.638
514,0.636
515,0.658
516,0.64
517,0.648
518,0.636
519,0.636
520,0.658
521,0.628
522,0.658
523,0.648
524,0.636
525,0.632
526,0.67
527,0.656
528,0.662
529,0.636
530,0.638
531,0.652
532,0.656
533,0.652
534,0.64
535,0.626
536,0.664
537,0.658
538,0.668
539,0.654
540,0.658
541,0.654
